Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,TotalReuse
BBa_I14033,0,0,8,8,0,2,7,0,8,2,1,0,2,0,38
BBa_K094110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K092300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K094130,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5
BBa_K094140,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
BBa_K094142,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
BBa_K094101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_J61003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_S04106,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K121011,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3
BBa_J54103,0,0,0,0,0,2,0,23,1,8,0,3,0,0,37
BBa_K121014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K137126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_S04114,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K137127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K137128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_S04115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_S04116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K142040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K091204,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
BBa_K091205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K142000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K142001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K142002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K142003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K081014,0,0,0,0,0,0,0,0,5,8,6,0,0,0,19
BBa_K092400,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
BBa_K105012,0,0,0,0,0,2,0,16,0,0,7,0,1,0,26
BBa_K092600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K092700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K135000,0,0,0,0,0,1,0,2,0,0,1,1,0,0,5
BBa_K135002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_J70024,0,0,0,0,0,1,7,0,0,0,0,0,0,0,8
BBa_J70025,0,0,0,0,0,1,7,0,0,0,0,0,0,0,8
BBa_J70026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BBa_K112400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112401,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112218,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K112222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112224,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_K112227,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
BBa_K112230,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
BBa_K112234,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
BBa_K145301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112305,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
BBa_K112311,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
BBa_K112102,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K112105,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K112108,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_J22106,0,0,0,2,0,1,0,0,3,1,2,3,6,0,18
BBa_K150002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150100,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
BBa_K150106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150104,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K150005,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K112999,0,0,0,0,0,120,24,0,0,0,0,0,0,0,144
BBa_K150007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150008,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4
BBa_K150107,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
BBa_K150010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K150012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BBa_K112405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
